weekday,hour,tweet_length,mentions_count,urls_count,photos_count,hashtags_count,quote_url_count,video_count,retweets_count,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
Wednesday,21,302,2,2,51,82,,1,0,0,0,0,0,1,0,0,1,0,2
Wednesday,21,223,2,2,2,2,,0,0,0,4,0,0,2,0,2,2,1,2
Wednesday,20,135,2,2,51,2,,1,0,1,0,1,1,1,1,0,0,2,1
Wednesday,18,251,2,2,51,61,,1,0,0,1,1,0,1,0,0,1,1,1
Wednesday,17,164,2,2,51,2,,1,0,0,0,0,0,0,0,0,0,0,0
Wednesday,7,253,2,2,2,2,,0,0,0,5,0,0,2,0,2,2,1,2
Tuesday,23,114,2,2,51,2,,1,0,0,0,0,0,0,0,0,0,0,0
Tuesday,21,213,2,67,2,2,,0,0,0,1,0,0,1,0,0,2,0,2
Tuesday,21,304,2,2,51,41,,1,0,0,3,0,0,4,1,0,3,1,5
Tuesday,18,43,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Tuesday,17,252,2,2,51,2,,1,0,0,2,1,0,1,0,0,2,2,3
Tuesday,16,304,2,2,51,36,,1,0,0,1,0,0,2,0,1,2,0,2
Tuesday,14,110,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,1
Tuesday,6,81,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Tuesday,2,282,89,69,51,23,,1,0,0,0,1,0,0,0,0,0,1,0
Monday,20,188,2,2,51,42,,1,0,0,1,0,0,0,0,0,0,0,1
Monday,18,154,104,2,63,2,,1,0,0,0,0,0,0,0,0,1,0,2
Monday,16,89,2,2,2,2,,0,0,0,0,1,0,0,0,0,0,1,0
Monday,7,127,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Monday,2,245,2,2,2,2,,0,0,0,0,0,0,0,0,0,2,0,4
Sunday,20,251,2,2,2,2,,0,0,1,0,0,1,0,1,0,0,1,4
Sunday,19,151,2,2,2,2,,0,0,1,0,3,1,1,2,0,0,3,2
Sunday,18,238,2,2,2,2,,0,0,0,1,1,0,1,0,0,1,1,4
Sunday,5,104,2,2,63,2,,1,0,0,0,0,0,0,0,0,0,0,0
Sunday,5,308,2,2,51,9,,1,0,0,0,0,0,0,0,0,0,0,0
Sunday,3,104,2,2,2,2,,0,0,0,0,1,0,0,0,0,0,1,1
